topic,topicKnowledge,overAllTopicKnowledge,quizWiseTopicKnowledge,advanceTopicKnowledge,overAllAdvanceTopicKnowledge,quizWiseAdvanceTopicKnowledge,easyTopicKnowledge,overAllEasyTopicKnowledge,quizWiseEasyTopicKnowledge,knowledge,overAllKnowledge,quizWiseKnowledge,advancedKnowledge,overAllAdvancedKnowledge,quizWiseAdvancedKnowledge,easyKnowledge,overAllEasyKnowledge,quizWiseEasyKnowledge,timeSpentViewingMaterial,overAllAttemptAverage,quizWiseAttemptAverage,activeOrReflective,sensoryOrIntuitive,visualOrVerbal,sequentialOrGlobal,recommendation
flow control,0.015625,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0625,0.0,0.4194155092592593,0.8388310185185186,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
exceptions,0.1390625,0.278125,0.0,0.278125,0.55625,0.0,0.0,0.0,0.0,0.44840856481481484,0.8968171296296297,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
threads,0.0140625,0.028125,0.0,0.0,0.0,0.0,0.028125,0.05625,0.0,0.44470486111111107,0.8894097222222221,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4431423611111111,0.8862847222222222,0.0,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
declarations and access control,0.140625,0.03125,0.25,0.28125,0.0625,0.5,0.0,0.0,0.0,0.5388248992704826,0.9244791666666666,0.15317063187429855,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
operators and assignments,0.125,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.5683387881593714,0.9835069444444444,0.15317063187429855,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
inner classes,0.140625,0.03125,0.25,0.25,0.0,0.5,0.03125,0.0625,0.0,0.6047971214927048,1.0564236111111112,0.15317063187429855,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
assertions,0.125,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.6065332326038159,1.0598958333333333,0.15317063187429855,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
classes,0.140625,0.03125,0.25,0.25,0.0,0.5,0.03125,0.0625,0.0,0.6429915659371492,1.1328125,0.15317063187429855,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
garbage collection,0.15625,0.0625,0.25,0.3125,0.125,0.5,0.0,0.0,0.0,0.6794498992704826,1.2057291666666667,0.15317063187429855,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
objects and collections,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.7361628622334456,1.3469328703703705,0.12539285409652076,0.2215277777777778,0.25833333333333336,0.18472222222222223,0.07349668560606061,0.12578125,0.021212121212121213,0,2.5,1.0,5,1,11,7,?
