Instance_number,'user id',video,images,paragraph,bullets,examples,advanced,medium,easy,topic,'facts and procedures','theories and meaning','steps given',practical,thinking,Cluster
0,3,true,false,true,false,false,true,true,true,'flow control',false,true,false,false,true,cluster0
1,3,true,false,true,false,false,true,true,true,exceptions,false,true,false,false,true,cluster0
2,3,true,false,true,false,false,true,true,true,threads,false,true,false,false,true,cluster0
3,3,true,false,true,false,false,true,true,true,core,false,true,false,false,true,cluster0
4,3,true,false,true,false,false,true,true,true,'declarations and access control',false,true,false,false,true,cluster0
5,3,true,false,true,false,false,true,true,true,'operators and assignments',false,true,false,false,true,cluster0
6,3,true,false,true,false,false,true,true,true,'inner classes',false,true,false,false,true,cluster6
7,3,true,false,true,false,false,true,true,true,assertions,false,true,false,false,true,cluster7
8,3,true,false,true,false,false,true,true,true,classes,false,true,false,false,true,cluster0
9,3,true,false,true,false,false,true,true,true,'garbage collection',false,true,false,false,true,cluster0
10,3,true,false,true,false,false,true,true,true,'objects and collections',false,true,false,false,true,cluster0
11,3,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
12,3,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
13,3,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
14,3,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster3
15,3,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
16,3,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster3
17,3,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster3
18,3,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster3
19,3,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
20,3,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster3
21,3,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster3
22,15,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
23,15,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
24,15,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
25,15,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster1
26,15,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
27,15,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster1
28,15,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster1
29,15,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster1
30,15,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
31,15,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster1
32,15,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster1
33,15,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
34,15,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
35,15,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
36,15,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster1
37,15,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
38,15,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster1
39,15,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster1
40,15,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster1
41,15,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
42,15,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster1
43,15,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster1
44,4,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
45,4,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
46,4,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
47,4,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster3
48,4,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
49,4,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster3
50,4,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster3
51,4,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster3
52,4,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
53,4,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster3
54,4,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster3
55,3,true,false,true,false,false,true,true,true,'flow control',false,true,false,false,true,cluster0
56,3,true,false,true,false,false,true,true,true,exceptions,false,true,false,false,true,cluster0
57,3,true,false,true,false,false,true,true,true,threads,false,true,false,false,true,cluster0
58,3,true,false,true,false,false,true,true,true,core,false,true,false,false,true,cluster0
59,3,true,false,true,false,false,true,true,true,'declarations and access control',false,true,false,false,true,cluster0
60,3,true,false,true,false,false,true,true,true,'operators and assignments',false,true,false,false,true,cluster0
61,3,true,false,true,false,false,true,true,true,'inner classes',false,true,false,false,true,cluster6
62,3,true,false,true,false,false,true,true,true,assertions,false,true,false,false,true,cluster7
63,3,true,false,true,false,false,true,true,true,classes,false,true,false,false,true,cluster0
64,3,true,false,true,false,false,true,true,true,'garbage collection',false,true,false,false,true,cluster0
65,3,true,false,true,false,false,true,true,true,'objects and collections',false,true,false,false,true,cluster0
66,5,true,false,true,false,false,true,true,true,'flow control',false,true,false,false,true,cluster0
67,5,true,false,true,false,false,true,true,true,exceptions,false,true,false,false,true,cluster0
68,5,true,false,true,false,false,true,true,true,threads,false,true,false,false,true,cluster0
69,5,true,false,true,false,false,true,true,true,core,false,true,false,false,true,cluster0
70,5,true,false,true,false,false,true,true,true,'declarations and access control',false,true,false,false,true,cluster0
71,5,true,false,true,false,false,true,true,true,'operators and assignments',false,true,false,false,true,cluster0
72,5,true,false,true,false,false,true,true,true,'inner classes',false,true,false,false,true,cluster6
73,5,true,false,true,false,false,true,true,true,assertions,false,true,false,false,true,cluster7
74,5,true,false,true,false,false,true,true,true,classes,false,true,false,false,true,cluster0
75,5,true,false,true,false,false,true,true,true,'garbage collection',false,true,false,false,true,cluster0
76,5,true,false,true,false,false,true,true,true,'objects and collections',false,true,false,false,true,cluster0
77,6,true,false,false,true,false,true,true,true,'flow control',true,false,true,false,true,cluster0
78,6,true,false,false,true,false,true,true,true,exceptions,true,false,true,false,true,cluster3
79,6,true,false,false,true,false,true,true,true,threads,true,false,true,false,true,cluster1
80,6,true,false,false,true,false,true,true,true,core,true,false,true,false,true,cluster0
81,6,true,false,false,true,false,true,true,true,'declarations and access control',true,false,true,false,true,cluster2
82,6,true,false,false,true,false,true,true,true,'operators and assignments',true,false,true,false,true,cluster0
83,6,true,false,false,true,false,true,true,true,'inner classes',true,false,true,false,true,cluster6
84,6,true,false,false,true,false,true,true,true,assertions,true,false,true,false,true,cluster7
85,6,true,false,false,true,false,true,true,true,classes,true,false,true,false,true,cluster5
86,6,true,false,false,true,false,true,true,true,'garbage collection',true,false,true,false,true,cluster0
87,6,true,false,false,true,false,true,true,true,'objects and collections',true,false,true,false,true,cluster0
88,6,true,false,false,true,false,true,true,true,'flow control',true,false,true,false,true,cluster0
89,6,true,false,false,true,false,true,true,true,exceptions,true,false,true,false,true,cluster3
90,6,true,false,false,true,false,true,true,true,threads,true,false,true,false,true,cluster1
91,6,true,false,false,true,false,true,true,true,core,true,false,true,false,true,cluster0
92,6,true,false,false,true,false,true,true,true,'declarations and access control',true,false,true,false,true,cluster2
93,6,true,false,false,true,false,true,true,true,'operators and assignments',true,false,true,false,true,cluster0
94,6,true,false,false,true,false,true,true,true,'inner classes',true,false,true,false,true,cluster6
95,6,true,false,false,true,false,true,true,true,assertions,true,false,true,false,true,cluster7
96,6,true,false,false,true,false,true,true,true,classes,true,false,true,false,true,cluster5
97,6,true,false,false,true,false,true,true,true,'garbage collection',true,false,true,false,true,cluster0
98,6,true,false,false,true,false,true,true,true,'objects and collections',true,false,true,false,true,cluster0
99,15,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
100,15,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
101,15,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
102,15,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster1
103,15,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
104,15,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster1
105,15,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster1
106,15,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster1
107,15,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
108,15,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster1
109,15,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster1
110,15,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
111,15,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
112,15,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
113,15,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster1
114,15,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
115,15,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster1
116,15,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster1
117,15,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster1
118,15,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
119,15,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster1
120,15,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster1
121,22,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
122,22,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
123,22,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
124,22,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster2
125,22,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
126,22,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster2
127,22,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster2
128,22,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster2
129,22,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
130,22,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster2
131,22,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster2
132,24,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
133,24,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
134,24,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
135,24,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster2
136,24,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
137,24,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster2
138,24,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster2
139,24,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster2
140,24,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
141,24,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster2
142,24,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster2
143,27,false,true,false,true,true,true,true,true,'flow control',true,false,true,true,false,cluster4
144,27,false,true,false,true,true,true,true,true,exceptions,true,false,true,true,false,cluster3
145,27,false,true,false,true,true,true,true,true,threads,true,false,true,true,false,cluster1
146,27,false,true,false,true,true,true,true,true,core,true,false,true,true,false,cluster2
147,27,false,true,false,true,true,true,true,true,'declarations and access control',true,false,true,true,false,cluster2
148,27,false,true,false,true,true,true,true,true,'operators and assignments',true,false,true,true,false,cluster2
149,27,false,true,false,true,true,true,true,true,'inner classes',true,false,true,true,false,cluster2
150,27,false,true,false,true,true,true,true,true,assertions,true,false,true,true,false,cluster2
151,27,false,true,false,true,true,true,true,true,classes,true,false,true,true,false,cluster5
152,27,false,true,false,true,true,true,true,true,'garbage collection',true,false,true,true,false,cluster2
153,27,false,true,false,true,true,true,true,true,'objects and collections',true,false,true,true,false,cluster2
